user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-29 22:04:55,1324855375847,149.22949,-5.9656596,3.0572722
ugur,1,2018-03-29 22:04:55,1324802592305,148.37,-7.0019226,3.284651
ugur,1,2018-03-29 22:04:55,1324749012826,148.22998,-6.6203012,3.2315776
ugur,1,2018-03-29 22:04:55,1324694889336,147.67487,-6.2233005,3.0777361
ugur,1,2018-03-29 22:04:55,1324641707930,146.1164,-6.1683903,3.0165439
ugur,1,2018-03-29 22:04:55,1324589395847,144.5542,-6.2182326,3.1559765
ugur,1,2018-03-29 22:04:55,1324536293712,142.88623,-5.789795,3.6962066
ugur,1,2018-03-29 22:04:55,1324483203139,140.89166,-5.334801,4.3934135
ugur,1,2018-03-29 22:04:55,1324430488191,139.3559,-4.898233,5.205713
ugur,1,2018-03-29 22:04:55,1324376893868,137.42139,-5.0440507,6.225655
ugur,1,2018-03-29 22:04:55,1324324866576,136.22021,-4.652842,5.4938917
ugur,1,2018-03-29 22:04:55,1324271287670,135.7486,-4.996352,5.8939185
ugur,1,2018-03-29 22:04:55,1324217041941,134.01025,-6.7989416,5.313071
ugur,1,2018-03-29 22:04:55,1324164087097,133.361,-6.855823,4.884019
ugur,1,2018-03-29 22:04:55,1324111716837,132.23138,-6.6909194,3.167445
ugur,1,2018-03-29 22:04:55,1324058292566,131.25986,-6.592409,2.7428486
ugur,1,2018-03-29 22:04:55,1324003864337,130.63062,-6.291981,2.3414614
ugur,1,2018-03-29 22:04:55,1323952257305,130.51361,-5.857746,2.3038578
ugur,1,2018-03-29 22:04:55,1323898794389,130.75024,-5.739508,3.4874504
ugur,1,2018-03-29 22:04:55,1323845138139,130.8493,-5.8626924,2.9352298
ugur,1,2018-03-29 22:04:55,1323791863035,131.3583,-5.877775,2.1553502
ugur,1,2018-03-29 22:04:55,1323737424806,132.82275,-4.918491,2.1305988
ugur,1,2018-03-29 22:04:55,1323684440014,133.73297,-5.016027,3.7745202
ugur,1,2018-03-29 22:04:55,1323629621316,132.99945,-6.836963,2.602474
ugur,1,2018-03-29 22:04:55,1323576270431,134.13617,-6.75487,2.4707537
