user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-23 10:34:21,237963060636830,-1.009207,-0.93081915,5.374604
ugur,1,2018-03-23 10:34:21,237963005058676,2.1260803,0.194839,2.3122807
ugur,1,2018-03-23 10:34:21,237962951738676,0.43852404,1.021388,1.9317274
ugur,1,2018-03-23 10:34:21,237962898254868,0.571253,1.1954588,-0.27307892
ugur,1,2018-03-23 10:34:21,237962844758522,-0.30045763,0.5038333,0.34289837
ugur,1,2018-03-23 10:34:21,237962784324407,-0.47086263,0.17254984,-2.8882556
ugur,1,2018-03-23 10:34:21,237962725370984,-0.20273101,0.27044547,-3.8851075
ugur,1,2018-03-23 10:34:21,237962663883599,-0.5650898,-0.2843629,-3.813971
ugur,1,2018-03-23 10:34:21,237962603562984,0.0011839271,-0.88389105,0.10307503
ugur,1,2018-03-23 10:34:21,237962543735638,2.4912307,-0.5756316,-1.1531782
ugur,1,2018-03-23 10:34:21,237962482986945,-0.8746884,-1.2098879,2.1010094
ugur,1,2018-03-23 10:34:21,237962423331676,-0.15474111,-1.1576489,5.3519125
ugur,1,2018-03-23 10:34:21,237962365288369,-0.06648409,0.5346844,2.51437
ugur,1,2018-03-23 10:34:21,237962304963484,0.18064529,0.27741492,-0.25969028
ugur,1,2018-03-23 10:34:21,237962245342407,-0.33525297,0.27858222,-1.8622193
ugur,1,2018-03-23 10:34:21,237962185494215,-0.12663208,0.11425209,-2.4485502
ugur,1,2018-03-23 10:34:21,237962125356330,-0.2405049,-0.07011807,-3.7559562
ugur,1,2018-03-23 10:34:21,237962065280023,-0.17628086,-0.43546897,-1.9315414
ugur,1,2018-03-23 10:34:21,237962009140292,-0.22276792,-0.720047,-0.47375202
ugur,1,2018-03-23 10:34:21,237961955368754,0.11223921,-0.649589,0.3233509
ugur,1,2018-03-23 10:34:21,237961901070330,-0.2031188,-0.6148408,-0.5075369
ugur,1,2018-03-23 10:34:21,237961846904100,-0.7171444,-0.9974021,6.8140078
ugur,1,2018-03-23 10:34:21,237961791624638,1.7568787,-0.45049715,3.5825062
ugur,1,2018-03-23 10:34:21,237961734706292,0.011876572,0.6592405,1.1744289
ugur,1,2018-03-23 10:34:21,237961676069831,-0.39329192,0.54939544,-0.063266754
ugur,1,2018-03-23 10:34:21,237961613239408,0.1664457,0.2044934,-2.3173208
ugur,1,2018-03-23 10:34:21,237961552909100,0.2817643,0.36653626,-3.2824655
ugur,1,2018-03-23 10:34:21,237961495529792,-0.14349498,0.1141299,-3.6917763
ugur,1,2018-03-23 10:34:21,237961437318523,-0.49402118,-0.27838838,-2.8193703
ugur,1,2018-03-23 10:34:21,237961378886562,1.2026576,-0.5013986,-0.34446907
ugur,1,2018-03-23 10:34:21,237961323298177,2.2415397,-0.37694955,-0.59508705
ugur,1,2018-03-23 10:34:21,237961264821985,-0.6177375,-1.1732152,3.782858
ugur,1,2018-03-23 10:34:21,237961205163331,0.9726439,-0.69975364,3.7804651
ugur,1,2018-03-23 10:34:21,237961145389216,-0.32498714,0.2922659,2.498907
ugur,1,2018-03-23 10:34:21,237961085917754,-0.77177566,-0.020948648,0.37217712
ugur,1,2018-03-23 10:34:21,237961026627600,-0.27624863,0.56318617,-2.2674665
ugur,1,2018-03-23 10:34:21,237960967361139,0.05271949,0.4017347,-2.4784222
ugur,1,2018-03-23 10:34:21,237960909185485,0.35395592,0.39175832,-3.6102753
ugur,1,2018-03-23 10:34:21,237960851146639,-0.22343196,-0.26254922,-1.9903221
ugur,1,2018-03-23 10:34:21,237960791275870,-0.14177226,-1.0078021,-0.23531914
ugur,1,2018-03-23 10:34:21,237960731365601,-0.091996945,-1.2320836,0.6756239
ugur,1,2018-03-23 10:34:21,237960671531331,-0.5759584,-0.7511592,-2.2098427
ugur,1,2018-03-23 10:34:21,237960611931024,0.20733899,-0.6287235,6.4387693
ugur,1,2018-03-23 10:34:21,237960552175293,1.8631518,0.2098006,2.4884691
ugur,1,2018-03-23 10:34:21,237960492363793,-0.085868746,0.82922566,0.6872721
ugur,1,2018-03-23 10:34:21,237960432921832,0.14485434,0.7920002,-0.7988262
ugur,1,2018-03-23 10:34:21,237960373525639,-0.20348024,0.15855026,-1.3979244
ugur,1,2018-03-23 10:34:21,237960313988947,0.26303056,0.35329568,-3.6702223
ugur,1,2018-03-23 10:34:21,237960257612639,-0.74648976,-0.080215216,-2.9632459
ugur,1,2018-03-23 10:34:21,237960203022639,-0.316442,-0.39941382,-2.820692
ugur,1,2018-03-23 10:34:21,237960138366755,1.9087095,-0.8331541,0.95529175
ugur,1,2018-03-23 10:34:21,237960078587986,0.47293478,-0.39952582,-2.1896486
ugur,1,2018-03-23 10:34:21,237960017522024,-1.5019765,-2.0138507,7.815976
ugur,1,2018-03-23 10:34:21,237959958082870,0.9483318,0.111436844,1.1572275
ugur,1,2018-03-23 10:34:21,237959898343447,0.53886724,-0.00039935112,1.8291397
ugur,1,2018-03-23 10:34:21,237959838184217,-0.646539,0.29364932,-0.39744854
ugur,1,2018-03-23 10:34:21,237959778748870,-0.050477058,0.57254684,-2.3520837
ugur,1,2018-03-23 10:34:21,237959719209678,0.19640693,0.15082538,-2.8511639
ugur,1,2018-03-23 10:34:21,237959659133294,0.17346615,0.091193795,-2.635879
ugur,1,2018-03-23 10:34:21,237959599437986,-0.052219942,-0.79757607,-0.22816181
ugur,1,2018-03-23 10:34:21,237959539872024,-0.13523126,-0.9795155,0.06516361
ugur,1,2018-03-23 10:34:21,237959481444640,0.31337696,-0.5791434,-0.9251795
ugur,1,2018-03-23 10:34:21,237959421633371,-0.717741,-0.768233,1.921567
ugur,1,2018-03-23 10:34:21,237959360926448,-0.050076902,-0.16102338,3.06283
ugur,1,2018-03-23 10:34:21,237959299735217,0.062080488,-0.017222643,3.3615093
ugur,1,2018-03-23 10:34:21,237959239468794,0.43313423,0.91037285,0.33311558
ugur,1,2018-03-23 10:34:21,237959179959794,0.17312053,0.75513446,-0.039938927
ugur,1,2018-03-23 10:34:21,237959120518756,0.08797915,0.35049844,-2.0472488
ugur,1,2018-03-23 10:34:21,237959061026948,-0.052399702,0.30795872,-3.6435509
ugur,1,2018-03-23 10:34:21,237959000918909,-0.63160086,-0.24268544,-2.0749655
ugur,1,2018-03-23 10:34:21,237958940567294,-0.009511203,-0.5242864,-2.056034
ugur,1,2018-03-23 10:34:21,237958881026986,1.5477822,-0.8270026,1.1909409
ugur,1,2018-03-23 10:34:21,237958820130448,0.0115343705,-0.53891075,-1.6994228
ugur,1,2018-03-23 10:34:21,237958760754756,-0.9644786,-1.5793599,6.70455
ugur,1,2018-03-23 10:34:21,237958702382217,0.4021097,0.733341,1.2671108
ugur,1,2018-03-23 10:34:21,237958645774948,0.48059404,0.3483534,1.1772509
ugur,1,2018-03-23 10:34:21,237958587629871,-0.45599023,0.4544524,-0.5572672
ugur,1,2018-03-23 10:34:21,237958527424064,0.12439719,0.10199523,-2.7320695
ugur,1,2018-03-23 10:34:21,237958467607525,0.37202168,0.13079357,-2.4206944
ugur,1,2018-03-23 10:34:21,237958408159910,0.47061023,-0.29382443,-3.4732924
ugur,1,2018-03-23 10:34:21,237958348025833,-0.29198408,-1.254935,-0.51195335
ugur,1,2018-03-23 10:34:21,237958290780372,0.08727938,-1.0533154,0.16275883
ugur,1,2018-03-23 10:34:21,237958235104602,-0.23642343,-0.73359036,-0.014510155
ugur,1,2018-03-23 10:34:21,237958179512372,-0.54494417,-0.7295033,-0.029232979
ugur,1,2018-03-23 10:34:21,237958121046987,-0.32125396,-0.53468704,4.992234
ugur,1,2018-03-23 10:34:21,237958061322910,1.0211945,-0.17622614,2.5426502
ugur,1,2018-03-23 10:34:21,237958001656449,0.15766528,0.8138443,0.038378716
ugur,1,2018-03-23 10:34:21,237957945145179,0.1619085,0.8456441,-0.5959444
ugur,1,2018-03-23 10:34:21,237957890736218,-0.118419126,0.10831773,-0.5106411
ugur,1,2018-03-23 10:34:21,237957836247756,-0.48591486,-0.28190792,-2.2144217
ugur,1,2018-03-23 10:34:21,237957779784680,-0.54564166,-0.3800584,-2.7329464
ugur,1,2018-03-23 10:34:21,237957721440257,-0.45334217,-0.5301117,-2.85153
ugur,1,2018-03-23 10:34:21,237957660904564,0.7031778,-0.8937332,-1.8472271
ugur,1,2018-03-23 10:34:21,237957600316257,2.3584292,-1.6794274,1.027317
ugur,1,2018-03-23 10:34:21,237957539481987,0.4302111,-0.87604797,-0.4661913
ugur,1,2018-03-23 10:34:21,237957478440564,0.5689213,-1.2974563,6.183998
